*header,hse_type,province,upgrade1,upgrade2,upgrade3,eligible,total
*data,1-SD,BRITISH COLUMBIA,BIPVT,0,0,577,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,0,47,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,0,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,0,45,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,ICE_CHP,0,447,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PCM,0,523,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,PV,0,332,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SDHW,0,332,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,SE_CHP,0,447,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WAM,0,500,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2010,0,558,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2100,0,558,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM2110,0,558,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3000,0,576,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3200,0,576,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3210,0,577,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,WTM3310,0,577,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,FOH,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,FVB,45,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,ICE_CHP,44,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,PCM,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,PV,35,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,SDHW,35,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,SE_CHP,44,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WAM,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM2010,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM2100,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM2110,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM3000,47,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM3200,47,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM3210,47,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,CVB,WTM3310,47,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,FVB,41,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,ICE_CHP,40,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,PCM,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,PV,32,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,SDHW,32,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,SE_CHP,40,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WAM,40,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM2010,40,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM2100,40,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM2110,40,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM3000,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM3200,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM3210,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FOH,WTM3310,43,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,ICE_CHP,42,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,PCM,41,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,PV,33,1770
*data,1-SD,BRITISH COLUMBIA,BIPVT,FVB,SDHW,33,1770
